Con,Contp,Reg,Dat,Agtp,Stage,Loc1ISO,StDef,StGen,StCon,Dev,NatRes,Bus,LaRef,SsrPol,GCh,GRa,GeWom,GeMe,HrGen,EqGen,HrDem,HrFra,HrCp,HrSec,HrNi,Med,HrCit,Prot,Pol,Cons,Ele,Pubad,Polps,Terps,Eps,JusCr,JusJu,TjNR,Religion
Colombia,Government,Americas,1991-01-25,Intra,SubPar,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Government,Americas,1991-01-10,Intra,Imp,COL,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Colombia,Government,Americas,1990-12-28,Intra,Pre,COL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Colombia,Government,Americas,1990-12-28,Intra,SubPar,COL,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Colombia,Government,Americas,1990-10-21,Intra,Pre,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colombia,Government,Americas,1990-10-10,Intra,Pre,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Colombia,Government,Americas,1990-09-28,Intra,Pre,COL,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Colombia,Government,Americas,1990-09-24,Intra,Pre,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Colombia,Government,Americas,1990-09-14,Intra,Pre,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Government,Americas,1990-08-26,Intra,SubPar,COL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Colombia,Government,Americas,1990-03-09,Intra,SubComp,COL,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
Colombia/Venezuela,Government,Americas,2010-08-10,InterIntra,SubPar,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros/Anjouan,Government/territory,Africa (excl MENA),2010-06-16,Intra,Imp,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,3,3,0,1,2,0,0,0,1,1
Comoros/Anjouan,Government/territory,Africa (excl MENA),2003-12-20,Intra,SubPar,COM,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,1,3,0,0,0,0
Comoros/Anjouan,Government/territory,Africa (excl MENA),2001-12-23,Intra,SubComp,COM,1,0,1,1,0,0,0,0,2,2,1,0,1,1,2,1,1,1,0,1,3,0,3,3,2,0,3,3,0,0,1,0,1
Comoros/Anjouan,Inter-group,Africa (excl MENA),2001-09-01,Intra,SubPar,COM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,1,0,0,1,0,0
Comoros/Anjouan,Government/territory,Africa (excl MENA),2001-02-17,Intra,SubPar,COM,1,1,1,1,0,1,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,1,0,3,1,0,0,0,2,1
Comoros/Anjouan,Government/territory,Africa (excl MENA),2000-08-26,Intra,Pre,COM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1
Comoros/Anjouan,Government/territory,Africa (excl MENA),1999-04-23,Intra,SubPar,COM,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,0,3,0,1,0,1,0,0
Comoros/Anjouan,Government/territory,Africa (excl MENA),1997-12-13,Intra,Pre,COM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica/El Salvador/Guatemala/Honduras/Nicaragua,Government,Americas,1990-04-03,InterIntra,Imp,NIC,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cote d'Ivoire,Government,Africa (excl MENA),2008-12-22,Intra,Imp,CIV,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2007-11-28,Intra,Imp,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2007-11-28,Intra,SubPar,CIV,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2007-03-27,Intra,Imp,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2007-03-04,Intra,SubPar,CIV,1,0,1,1,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,3,3,1,1,0,3,1,0,0,0,0,1,1,0
Cote d'Ivoire,Government,Africa (excl MENA),2006-11-01,InterIntra,Imp,CIV,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2005-10-21,InterIntra,Imp,CIV,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2005-06-29,Intra,Imp,CIV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2005-04-06,Intra,Imp,CIV,1,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,1,2,0,1,0,0,0,0,0,0
